API Key,API ključ,
API Secret,API tajna,
About,O,
Access Token,Pristupni token,
Action,Akcija,
Action Type,Vrsta akcije,
Active,Aktivan,
All,Sve,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Datoteka ikone s nastavkom .ico. Trebala bi biti 16 x 16 px. Generirano pomoću generatora favicona. [favicon-generator.org],
Apply To,Primijeni na,
Apps,Aplikacije,
Assignment,Dodjela,
Attachments,Prilozi,
Avatar,Avatar,
BCC,BCC,
Basic,Osnovno,
CANCELLED,OTKAZANO,
CC,CC,
Campaign,Kampanja,
Client ID,ID klijenta,
Client Secret,Tajna klijenta,
Columns,Kolone,
Comment,Komentar,
Content,Sadržaj,
Created At,Kreirano,
Created By,Kreirano od strane,
DRAFT,SKICA,
Description,Opis,
DocType,DocType,
Email,E-pošta,
Enabled,Omogućeno,
End Date,Datum završetka,
Error,Grеška,
Facebook,Facebook,
Failed,Neuspješno,
Filters,Filteri,
Form,Obrazac,
Frappe Support,Frappe podrška,
From User,Od korisnika,
Full Name,Puno ime,
Group By,Grupiši po,
Icon,Ikona,
Inactive,Neaktivan,
Is Default,Zadano je,
Is Standard,Je standardno,
Kanban,Kanban,
Keyboard Shortcuts,Prečice na tastaturi,
Label,Oznaka,
List,Lista,
Location,Lokacija,
Log out,Odjava,
Mention,Spominjanje,
Message,Poruka,
My Profile,Moj profil,
My Settings,Moje postavke,
Name,Naziv,
New,Novi,
Phone,Telefon,
Public,Javno,
Read,Čitaj,
Recipients,Primatelji,
Reference Doctype,Referentni Doctype,
Refresh Token,Osvježi Token,
Rejected,Odbijeno,
Reload,Ponovo učitaj,
Result,Rezultat,
Sales Manager,Upravitelj Prodaje,
Sales User,Korisnik Prodaje,
Script,Skripta,
Sender,Pošiljalac,
Session Defaults,Sesije zadano,
Settings,Postavke,
Source,Izvor,
Source Name,Naziv Izvora,
Start Date,Start Datum,
Status,Status,
Subject,Predmet,
Success,Uspjeh,
System Manager,Upravitelj Sistema,
Task,Zadatak,
Template,Šablon,
Title,Naziv,
Title Field,Polje naslova,
To User,Za korisnika,
Toggle Full Width,Prebaci punu širinu,
Toggle Theme,Prebaci temu,
Type,Tip,
User,Korisnik,
View Website,Pogledaj web stranicu,
list,lista,
