API Key,API Key,
API Secret,API secret,
Access Token,Token d'accés,
Action,Acció,
Action Type,Tipus d’acció,
Active,Actiu,
All,Tots,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Un arxiu d&#39;icona amb ico extensió. En cas de ser de 16 x 16 píxels. Generat usant un generador de favicon. [favicon-generator.org],
Assignment,assignació,
Attachments,Adjunts,
Avatar,Avatar,
BCC,BCC,
Basic,Bàsic,
CANCELLED,Cancel·lat,
CC,CC,
Client ID,ID de client,
Client Secret,secreta de client,
Columns,columnes,
Comment,Comentar,
Content,Contingut,
Created By,Creat per,
DRAFT,Esborrany,
Description,Descripció,
DocType,DocType,
Email,Correu electrònic,
Enabled,Activat,
End Date,Data de finalització,
Error,Error,
Facebook,Facebook,
Failed,Fracassat,
Filters,Filtres,
From User,De l’Usuari,
Full Name,Nom complet,
Group By,Agrupar per,
Icon,Icona,
Inactive,Inactiu,
Is Default,És per defecte,
Is Standard,És Standard,
Kanban,Kanban,
Keyboard Shortcuts,Dreceres de teclat,
Label,Etiqueta,
List,Llista,
Location,Ubicació,
Mention,Menció,
Message,Missatge,
Name,Nom,
New,Nou,
Phone,Telèfon,
Public,Públic,
Pull,Tirar,
Push,Empenta,
Read,Llegir,
Recipients,Destinataris,
Reference Doctype,Reference DocType,
Refresh Token,actualitzar Token,
Rejected,Rebutjat,
Reload,Recarregar,
Sales Manager,Gerent De Vendes,
Sales User,Usuari de vendes,
Script,Guió,
Sender,Remitent,
Session Defaults,Defectes predeterminats de la sessió,
Settings,Ajustos,
Source,Font,
Source Name,font Nom,
Start Date,Data De Inici,
Status,Estat,
Subject,Subjecte,
Success,Èxit,
System Manager,Administrador del sistema,
Task,Tasca,
Template,Plantilla,
Title,Títol,
Title Field,Title Field,
To User,A l&#39;Usuari,
Type,Tipus,
User,Usuari,
View Website,Veure Lloc Web,
list,llista,
