API Key,klíč API,
API Secret,API Secret,
Access Token,Přístupový Token,
Action,Akce,
Action Type,Typ akce,
Active,Aktivní,
All,Všechno,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Ikonu souboru s příponou ICO. Měl by být 16 x 16 px. Generován pomocí favicon generátoru. [favicon-generator.org],
Assignment,Úkol,
Attachments,Přílohy,
Avatar,Avatar,
BCC,BCC,
Basic,Základní,
CANCELLED,ZRUŠENO,
CC,CC,
Client ID,ID klienta,
Client Secret,Klientské tajemství,
Columns,sloupce,
Comment,Komentář,
Content,Obsah,
Created By,Vytvořeno (kým),
DRAFT,NÁVRH,
Description,Popis,
DocType,DocType,
Email,E-mailem,
Enabled,Zapnuto,
End Date,Datum ukončení,
Error,Chyba,
Facebook,Facebook,
Failed,Nepodařilo,
Filters,Filtry,
From User,Od uživatele,
Full Name,Celé jméno/název,
Group By,Skupina vytvořená,
Icon,Ikona,
Inactive,Neaktivní,
Is Default,Je Výchozí,
Is Standard,Je standardní,
Kanban,Kanban,
Keyboard Shortcuts,Klávesové zkratky,
Label,Popisek,
List,Seznam,
Location,Místo,
Mention,Zmínit se,
Message,Zpráva,
Name,Jméno,
New,Nový,
Phone,Telefon,
Public,Veřejné,
Pull,SEM,
Push,TAM,
Read,Číst,
Recipients,Příjemci,
Reference Doctype,Reference DocType,
Refresh Token,Obnovit Token,
Rejected,Zamítnuto,
Reload,Znovu načíst,
Sales Manager,Manažer prodeje,
Sales User,Uživatel prodeje,
Script,Skript,
Sender,Odesilatel,
Session Defaults,Výchozí nastavení relace,
Settings,Nastavení,
Source,Zdroj,
Source Name,Název zdroje,
Start Date,Datum zahájení,
Status,Stav,
Subject,Předmět,
Success,Úspěch,
System Manager,Správce systému,
Task,Úkol,
Template,Šablona,
Title,Titulek,
Title Field,Titulek pole,
To User,Uživateli,
Type,Typ,
User,Uživatel,
View Website,K webové stránce,
list,seznam,
