API Key,crwdns143670:0crwdne143670:0,
API Secret,crwdns143678:0crwdne143678:0,
About,crwdns112978:0crwdne112978:0,
Access Token,crwdns143686:0crwdne143686:0,
Action,crwdns113020:0crwdne113020:0,
Action Type,crwdns143700:0crwdne143700:0,
Active,crwdns113056:0crwdne113056:0,
All,crwdns113294:0crwdne113294:0,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],crwdns143902:0crwdne143902:0,
Apply To,crwdns143954:0crwdne143954:0,
Apps,crwdns148374:0crwdne148374:0,
Assignment,crwdns143988:0crwdne143988:0,
Attachments,crwdns113786:0crwdne113786:0,
Avatar,crwdns144072:0crwdne144072:0,
BCC,crwdns113964:0crwdne113964:0,
Basic,crwdns144152:0crwdne144152:0,
CANCELLED,crwdns114268:0crwdne114268:0,
CC,crwdns114270:0crwdne114270:0,
Campaign,crwdns114330:0crwdne114330:0,
Client ID,crwdns144374:0crwdne144374:0,
Client Secret,crwdns144380:0crwdne144380:0,
Columns,crwdns144404:0crwdne144404:0,
Comment,crwdns114860:0crwdne114860:0,
Content,crwdns144470:0crwdne144470:0,
Created At,crwdns144514:0crwdne144514:0,
Created By,crwdns115234:0crwdne115234:0,
DRAFT,crwdns115454:0crwdne115454:0,
Description,crwdns115818:0crwdne115818:0,
DocType,crwdns116000:0crwdne116000:0,
Email,crwdns116472:0crwdne116472:0,
Enabled,crwdns116704:0crwdne116704:0,
End Date,crwdns116758:0crwdne116758:0,
Error,crwdns116830:0crwdne116830:0,
Facebook,crwdns145046:0crwdne145046:0,
Failed,crwdns145050:0crwdne145050:0,
Filters,crwdns145122:0crwdne145122:0,
Form,crwdns117546:0crwdne117546:0,
Frappe Support,crwdns117604:0crwdne117604:0,
From User,crwdns145242:0crwdne145242:0,
Full Name,crwdns117652:0crwdne117652:0,
Group By,crwdns117888:0crwdne117888:0,
Icon,crwdns118192:0crwdne118192:0,
Inactive,crwdns118474:0crwdne118474:0,
Is Default,crwdns118796:0crwdne118796:0,
Is Standard,crwdns145654:0crwdne145654:0,
Kanban,crwdns145698:0crwdne145698:0,
Keyboard Shortcuts,crwdns118988:0crwdne118988:0,
Label,crwdns119056:0crwdne119056:0,
List,crwdns145874:0crwdne145874:0,
Location,crwdns145890:0crwdne145890:0,
Log out,crwdns119460:0crwdne119460:0,
Mention,crwdns145996:0crwdne145996:0,
Message,crwdns119728:0crwdne119728:0,
My Profile,crwdns120052:0crwdne120052:0,
My Settings,crwdns120054:0crwdne120054:0,
Name,crwdns120062:0crwdne120062:0,
New,crwdns120138:0crwdne120138:0,
Phone,crwdns146396:0crwdne146396:0,
Public,crwdns121768:0crwdne121768:0,
Read,crwdns121968:0crwdne121968:0,
Recipients,crwdns146600:0crwdne146600:0,
Reference Doctype,crwdns122118:0crwdne122118:0,
Refresh Token,crwdns146646:0crwdne146646:0,
Rejected,crwdns146648:0crwdne146648:0,
Reload,crwdns122270:0crwdne122270:0,
Result,crwdns122580:0crwdne122580:0,
Sales Manager,crwdns122874:0crwdne122874:0,
Sales User,crwdns122878:0crwdne122878:0,
Script,crwdns146862:0crwdne146862:0,
Sender,crwdns146978:0crwdne146978:0,
Session Defaults,crwdns123422:0crwdne123422:0,
Settings,crwdns123504:0crwdne123504:0,
Source,crwdns123858:0crwdne123858:0,
Source Name,crwdns147168:0crwdne147168:0,
Start Date,crwdns123934:0crwdne123934:0,
Status,crwdns123998:0crwdne123998:0,
Subject,crwdns124088:0crwdne124088:0,
Success,crwdns124178:0crwdne124178:0,
System Manager,crwdns124296:0crwdne124296:0,
Task,crwdns124370:0crwdne124370:0,
Template,crwdns147316:0crwdne147316:0,
Title,crwdns124810:0crwdne124810:0,
Title Field,crwdns147432:0crwdne147432:0,
To User,crwdns124880:0crwdne124880:0,
Toggle Full Width,crwdns124932:0crwdne124932:0,
Toggle Theme,crwdns124940:0crwdne124940:0,
Type,crwdns125110:0crwdne125110:0,
User,crwdns125394:0crwdne125394:0,
View Website,crwdns125722:0crwdne125722:0,
list,crwdns148050:0crwdne148050:0,
