API Key,Clave de API,
API Secret,Clave Secreta de API,
About,Acerca de,
Access Token,Token de Acceso,
Action,Acción,
Action Type,Tipo de Acción,
Active,Activo,
All,Todos,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Un archivo de icono con .ico extensión. Debería ser de 16 x 16 píxeles. Generado usando un generador de favicon. [favicon-generator.org],
Apply To,Aplicar a,
Apps,Apps,
Assignment,Asignación,
Attachments,Adjuntos,
Avatar,Avatar,
BCC,CCO,
Basic,Base,
CANCELLED,CANCELADO,
CC,CC,
Campaign,Campaña,
Client ID,Id del cliente,
Client Secret,Secreto del cliente,
Columns,Columnas,
Comment,Comentario,
Content,Contenido,
Created At,Creado el,
Created By,Creado por,
DRAFT,BORRADOR,
Description,Descripción,
DocType,DocType,
Email,Correo electrónico,
Enabled,Habilitado,
End Date,Fecha Final,
Error,Error,
Facebook,Facebook,
Failed,Falló,
Filters,Filtros,
Form,Formulario,
Frappe Support,Soporte de Frappe,
From User,Del usuario,
Full Name,Nombre completo,
Group By,Agrupar por,
Icon,Icono,
Inactive,Inactivo,
Is Default,Es por defecto,
Is Standard,Es estándar,
Kanban,Kanban,
Keyboard Shortcuts,Atajos de teclado,
Label,Etiqueta,
List,Lista,
Location,Ubicación,
Log out,Cerrar sesión,
Mention,Mencionar,
Message,Mensaje,
My Profile,Mi Perfil,
My Settings,Mis ajustes,
Name,Nombre,
New,Nuevo,
Phone,Teléfono,
Public,Público,
Read,Leer,
Recipients,Destinatarios,
Reference Doctype,Referencia a 'DocType',
Refresh Token,Actualizar Token,
Rejected,Rechazado,
Reload,Recargar,
Result,Resultado,
Sales Manager,Gerente de ventas,
Sales User,Usuario de ventas,
Script,Script,
Sender,Remitente,
Session Defaults,Valores predeterminados de sesión,
Settings,Configuración,
Source,Referencia,
Source Name,Nombre de la Fuente,
Start Date,Fecha de inicio,
Status,Estado,
Subject,Asunto,
Success,Éxito,
System Manager,Administrador del sistema,
Task,Tarea,
Template,Plantilla,
Title,Nombre,
Title Field,Campo de título,
To User,Al usuario,
Toggle Full Width,Cambiar a ancho completo,
Toggle Theme,Cambiar tema,
Type,Tipo,
User,Usuario,
View Website,Ver Sitio Web,
list,lista,
