API Key,API võti,
API Secret,API Secret,
Access Token,Access Token,
Action,Action,
Action Type,Toimingu tüüp,
Active,Aktiivne,
All,Kõik,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Ikoon faili ICO laiendamine. Peaks olema 16 x 16 px. Loodud kasutades Favicon generaator. [favicon-generator.org],
Assignment,omistamine,
Attachments,Manused,
Avatar,Avatar,
BCC,BCC,
Basic,Põhiline,
CANCELLED,TÜHISTATUD,
CC,CC,
Client ID,kliendi ID,
Client Secret,kliendi saladus,
Columns,veerud,
Comment,Kommenteeri,
Content,Sisu,
Created By,Loodud,
DRAFT,Mustand,
Description,Kirjeldus,
DocType,DocType,
Email,E-kiri,
Enabled,Lubatud,
End Date,End Date,
Error,Eksimus,
Facebook,Facebook,
Failed,Ebaõnnestunud,
Filters,Filtrid,
From User,Kasutajalt,
Full Name,Täisnimi,
Group By,Rühmita,
Icon,Ikoon,
Inactive,Mitteaktiivne,
Is Default,Kas Vaikimisi,
Is Standard,Kas Standard,
Kanban,Kanban,
Keyboard Shortcuts,Klaviatuuri otseteed,
Label,Etikett,
List,Nimekiri,
Location,Asukoht,
Mention,Mainida,
Message,Sõnum,
Name,Nimi,
New,Uus,
Phone,Telefon,
Public,Avalik,
Pull,Tõmba,
Push,Push,
Read,Lugema,
Recipients,Toetuse saajad,
Reference Doctype,Viide DocType,
Refresh Token,Värskenda žetooni,
Rejected,Tagasi lükatud,
Reload,Reload,
Sales Manager,Müügijuht,
Sales User,Müük Kasutaja,
Script,Script,
Sender,Lähetaja,
Session Defaults,Seansi vaikeväärtused,
Settings,Seaded,
Source,Allikas,
Source Name,Allikas Nimi,
Start Date,Alguskuupäev,
Status,Staatus,
Subject,Subjekt,
Success,Edu,
System Manager,Süsteemihaldur,
Task,Ülesanne,
Template,Šabloon,
Title,Pealkiri,
Title Field,Pealkiri Field,
To User,Kasutajale,
Type,Tüüp,
User,Kasutaja,
View Website,Vaata Koduleht,
list,nimekiri,
