API Key,API Key,
API Secret,API Secret,
Access Token,Access Token,
Action,Toiminto,
Action Type,Toiminnan tyyppi,
Active,aktiivinen,
All,Kaikki,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Kuvake tiedosto Ico laajennus. Pitäisi olla 16 x 16 px. Tuottaa käyttäen favicon generaattori. [Favicon-generator.org],
Assignment,toimeksianto,
Attachments,Liitteet,
Avatar,Avatar,
BCC,BCC,
Basic,perustiedot,
CANCELLED,PERUTTU,
CC,CC,
Client ID,asiakastunnuksen,
Client Secret,asiakassalaisuutesi,
Columns,Pylväät,
Comment,Kommentti,
Content,sisältö,
Created By,tekijä,
DRAFT,luonnos,
Description,Kuvaus,
DocType,DOCTYPE,
Email,Sähköpostiosoite,
Enabled,Aktiivinen,
End Date,päättymispäivä,
Error,virhe,
Facebook,Facebook,
Failed,Epäonnistui,
Filters,Suodattimet,
From User,Käyttäjältä,
Full Name,Koko nimi,
Group By,Ryhmittele,
Icon,ikoni,
Inactive,Epäaktiivinen,
Is Default,käytä oletuksena,
Is Standard,on perus,
Kanban,Kanban,
Keyboard Shortcuts,Pikanäppäimet,
Label,Nimike,
List,Lista,
Location,Sijainti,
Mention,Mainita,
Message,Viesti,
Name,Nimi,
New,Uusi,
Phone,Puhelin,
Public,Julkinen,
Pull,Vedä,
Push,Työntää,
Read,Luettu,
Recipients,Vastaanottajat,
Reference Doctype,Viite-tietuetyyppi,
Refresh Token,Päivitä Token,
Rejected,Hylätty,
Reload,Päivitä,
Sales Manager,Myynnin ylläpitäjä,
Sales User,Myynnin peruskäyttäjä,
Script,kirjoitus,
Sender,Lähettäjä,
Session Defaults,Istunnon oletukset,
Settings,asetukset,
Source,Lähde,
Source Name,Source Name,
Start Date,aloituspäivä,
Status,Tila,
Subject,aihe,
Success,Menestys,
System Manager,Järjestelmän ylläpitäjä,
Task,Tehtävä,
Template,Mallipohja,
Title,otsikko,
Title Field,Otsikkokenttä,
To User,Käyttäjälle,
Type,tyyppi,
User,käyttäjä,
View Website,Näytä verkkosivusto,
list,lista,
