API Key,Clé API,
API Secret,Secret API,
About,A Propos,
Access Token,Jeton d'Accès,
Action,Action,
Action Type,Type d&#39;action,
Active,actif,
All,Tout,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Un fichier d'icône avec l’extension .ico. Devrait être 16 x 16 px. Générer en utilisant un générateur de favicon. [favicon-generator.org],
Apply To,Appliquer à,
Assignment,Affectation,
Attachments,Pièces jointes,
Basic,De base,
CANCELLED,ANNULÉ,
Client ID,ID Client,
Client Secret,Secret Client,
Columns,Colonnes,
Comment,Commentaire,
Content,Contenu,
Created By,Établi par,
DRAFT,BROUILLON,
Enabled,Activé,
End Date,Date de Fin,
Error,Erreur,
Failed,Échoué,
Filters,Filtres,
From User,De l&#39;utilisateur,
Full Name,Nom Complet,
Group By,Grouper par,
Icon,Icône,
Inactive,Inactif,
Is Default,Est Défaut,
Is Standard,Est Standard,
Keyboard Shortcuts,Raccourcis clavier,
Label,Étiquette,
List,Liste,
Location,Lieu,
My Profile,Mon profil,
My Settings,Mes paramètres,
Name,Nom,
New,Nouveau,
Phone,Téléphone,
Read,Lire,
Recipients,Destinataires,
Reference Doctype,DocType de la Référence,
Refresh Token,Jeton de Rafraîchissement,
Rejected,Rejeté,
Reload,Recharger,
Sales Manager,Responsable des Ventes,
Sales User,Chargé de Ventes,
Sender,Expéditeur,
Session Defaults,Session par défaut,
Settings,Paramètres,
Source Name,Nom de la Source,
Start Date,Date de Début,
Status,Statut,
Subject,Sujet,
Success,Succès,
System Manager,Responsable Système,
Task,Tâche,
Template,Modèle,
Title,Titre,
Title Field,Champ Titre,
To User,À l&#39;utilisateur,
Toggle Full Width,Changer l&#39;affichage en pleine largeur,
Toggle Theme,Basculer le thème,
User,Utilisateur,
View Website,Voir Le Site Web,
list,liste,
