API Key,מפתח API,
API Secret,API Secret,
Access Token,גישת אסימון,
Action,פעולה,
Action Type,סוג פעולה,
Active,פעיל,
All,כל,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],קובץ סמל עם .ico הארכה. צריך להיות 16 x 16 פיקסלים. נוצר באמצעות מחולל favicon. [Favicon-generator.org],
Assignment,מְשִׁימָה,
Attachments,קבצים מצורפים,
Avatar,תמונה,
BCC,BCC,
Basic,בסיסי,
CANCELLED,בוטל,
CC,CC,
Client ID,זיהוי לקוח,
Client Secret,סוד הלקוח,
Columns,עמודות,
Comment,תגובה,
Content,תוכן,
Created By,נוצר על-ידי,
DRAFT,טיוטה,
Description,תיאור,
DocType,DocType,
Email,"דוא""ל",
Enabled,מופעל,
End Date,תאריך סיום,
Error,שגיאה,
Facebook,פייסבוק,
Failed,נכשל,
Filters,מסננים,
From User,מהמשתמש,
Full Name,שם מלא,
Group By,קבץ לפי,
Icon,אייקון,
Inactive,לֹא פָּעִיל,
Is Default,האם ברירת מחדל,
Is Standard,האם תקן,
Kanban,קנבן,
Keyboard Shortcuts,קיצורי דרך במקלדת,
Label,תווית,
List,רשימה,
Location,מיקום,
Mention,אִזְכּוּר,
Message,הוֹדָעָה,
Name,שם,
New,חָדָשׁ,
Phone,טלפון,
Public,ציבור,
Pull,מְשׁוֹך,
Push,לִדחוֹף,
Read,קראו,
Recipients,מקבלי,
Reference Doctype,DOCTYPE התייחסות,
Refresh Token,רענן אסימון,
Rejected,נדחה,
Reload,רענן,
Sales Manager,מנהל מכירות,
Sales User,משתמש מכירות,
Script,תסריט,
Sender,שולח,
Session Defaults,ברירות מחדל של מושב,
Settings,הגדרות,
Source,מקור,
Source Name,שם המקור,
Start Date,תאריך ההתחלה,
Status,סטטוס,
Subject,נושא,
Success,הַצלָחָה,
System Manager,מנהל מערכת,
Task,משימה,
Template,תבנית,
Title,כותרת,
Title Field,כותרת שדה,
To User,למשתמש,
Type,סוג,
User,מִשׁתַמֵשׁ,
View Website,אתר צפה ב,
list,רשימה,
