API Key,एपीआई कुंजी,
API Secret,एपीआई गुप्त,
Access Token,एक्सेस टोकन,
Action,कार्रवाई,
Action Type,प्रक्रिया का प्रकार,
Active,सक्रिय,
All,सब,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],.ico विस्तार के साथ एक आइकन फ़ाइल। 16 x 16 पिक्सल होना चाहिए। एक favicon जनरेटर का उपयोग कर उत्पन्न। [Favicon-generator.org],
Assignment,असाइनमेंट,
Attachments,किए गए अनुलग्नकों के,
Avatar,अवतार,
BCC,बीसीसी,
Basic,बुनियादी,
CANCELLED,रद्द,
CC,सीसी,
Client ID,ग्राहक ID,
Client Secret,क्लाइंट सीक्रेट,
Columns,कॉलम,
Comment,टिप्पणी,
Content,सामग्री,
Created By,द्वारा बनाया गया,
DRAFT,मसौदा,
Description,विवरण,
DocType,doctype,
Email,ईमेल,
Enabled,Enabled,
End Date,समाप्ति तिथि,
Error,त्रुटि,
Facebook,फेसबुक,
Failed,विफल,
Filters,फिल्टर,
From User,उपयोगकर्ता से,
Full Name,पूरा नाम,
Group By,समूह द्वारा,
Icon,चिह्न,
Inactive,निष्क्रिय,
Is Default,डिफ़ॉल्ट है,
Is Standard,मानक है,
Kanban,Kanban,
Keyboard Shortcuts,कुंजीपटल अल्प मार्ग,
Label,लेबल,
List,लिस्ट,
Location,स्थान,
Mention,उल्लेख,
Message,संदेश,
Name,नाम,
New,नया,
Phone,फ़ोन,
Public,सार्वजनिक,
Pull,खींचें,
Push,धक्का दें,
Read,पढ़ना,
Recipients,प्राप्तकर्ता,
Reference Doctype,संदर्भ टैग,
Refresh Token,ताज़ा टोकन,
Rejected,अस्वीकृत,
Reload,सीमा से अधिक लादना,
Sales Manager,बिक्री प्रबंधक,
Sales User,बिक्री प्रयोक्ता,
Script,लिपि,
Sender,प्रेषक,
Session Defaults,सत्र चूक,
Settings,सेटिंग्स,
Source,स्रोत,
Source Name,स्रोत का नाम,
Start Date,प्रारंभ दिनांक,
Status,हैसियत,
Subject,विषय,
Success,सफलता,
System Manager,सिस्टम प्रबंधक,
Task,कार्य,
Template,टेम्पलेट,
Title,शीर्षक,
Title Field,शीर्षक फ़ील्ड,
To User,प्रयोगकर्ता के लिए,
Type,टाइप,
User,उपयोगकर्ता,
View Website,वेबसाइट देखें,
list,सूची,
