API Key,API kulcs,
API Secret,API titkosítás,
Access Token,Hozzáférési token,
Action,Művelet,
Action Type,Művelet típusa,
Active,Aktív,
All,Összes,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Egy ikon fájlt .ico kiterjesztéssel. Legyen 16 x 16 px. favicon generátor felhasználásával előállított . [favicon-generator.org],
Assignment,Hozzárendelés,
Attachments,Mellékletek,
Avatar,Avatár,
BCC,BCC,
Basic,Alapvető,
CANCELLED,TÖRÖLVE,
CC,CC,
Client ID,Ügyfél azonosító,
Client Secret,Ügyfél titkosító,
Columns,Oszlopok,
Comment,Megjegyzés,
Content,Tartalom,
Created By,Létrehozta,
DRAFT,Vázlat,
Description,Leírás,
DocType,DocType,
Email,Email,
Enabled,Engedélyezve,
End Date,Befejezés dátuma,
Error,Hiba,
Facebook,Facebook fiók,
Failed,Sikertelen,
Filters,Szűrők,
From User,Felhasználótól,
Full Name,Teljes név,
Group By,Csoportosít,
Icon,Ikon,
Inactive,Inaktív,
Is Default,Ez alapértelmezett,
Is Standard,Ez alapfelszereltség,
Kanban,Kanban,
Keyboard Shortcuts,Gyorsbillentyűket,
Label,Felirat,
List,Lista,
Location,Tartózkodási hely,
Mention,Említés,
Message,Üzenet,
Name,Név,
New,Új,
Phone,Telefon,
Public,Nyilvános,
Pull,Kihúzni,
Push,Benyomja,
Read,Olvas,
Recipients,Címzettek,
Reference Doctype,Referencia Doctype,
Refresh Token,Token frissítése,
Rejected,Elutasítva,
Reload,Reload,
Sales Manager,Értékesítési manager,
Sales User,Értékesítési Felhasználó,
Script,Forgatókönyv,
Sender,Küldő,
Session Defaults,Munkamenet alapértelmezései,
Settings,Beállítások,
Source,Forrás,
Source Name,Forrá név,
Start Date,Kezdés dátuma,
Status,Állapot,
Subject,Tárgy,
Success,Siker,
System Manager,Rendszer menedzser,
Task,Feladat,
Template,Sablon,
Title,Cím,
Title Field,Cím mező,
To User,Felhasználónak,
Type,Típus,
User,használó,
View Website,Weboldal megtekintése,
list,lista,
