API Key,API Key,
API Secret,API Rahasia,
Access Token,Akses Token,
Action,Tindakan,
Action Type,tipe aksi,
Active,Aktif,
All,Semua,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],File icon dengan ekstensi .ico. Harus 16 x 16 px. Dihasilkan menggunakan generator favicon. [favicon-generator.org],
Assignment,Tugas,
Attachments,Lampiran,
Avatar,Avatar,
BCC,BCC,
Basic,Dasar,
CANCELLED,DIBATALKAN,
CC,CC,
Client ID,ID klien,
Client Secret,Rahasia Klien,
Columns,kolom,
Comment,Komentar,
Content,Isi Halaman,
Created By,Dibuat Oleh,
DRAFT,Draf,
Description,Deskripsi,
DocType,DocType,
Email,Surel,
Enabled,Diaktifkan,
End Date,Tanggal Berakhir,
Error,Kesalahan,
Facebook,Facebook,
Failed,Gagal,
Filters,Penyaring,
From User,Dari Pengguna,
Full Name,Nama Lengkap,
Group By,Dikelompokkan oleh,
Icon,Ikon,
Inactive,Tidak aktif,
Is Default,Apakah default,
Is Standard,Adalah Standard,
Kanban,kanban,
Keyboard Shortcuts,Pintasan keyboard,
Label,Label,
List,Daftar,
Location,Lokasi,
Mention,Menyebut,
Message,Pesan,
Name,Nama,
New,Baru,
Phone,Telepon,
Public,Publik,
Pull,Tarik,
Push,Dorong,
Read,Membaca,
Recipients,Penerima,
Reference Doctype,Referensi DocType,
Refresh Token,Segarkan Token,
Rejected,Ditolak,
Reload,Mengisi kembali,
Sales Manager,Sales Manager,
Sales User,Penjualan Pengguna,
Script,Skrip,
Sender,Pengirim,
Session Defaults,Default Sesi,
Settings,Pengaturan,
Source,Sumber,
Source Name,sumber Nama,
Start Date,Tanggal Mulai,
Status,Status,
Subject,Perihal,
Success,Keberhasilan,
System Manager,System Manager,
Task,Tugas,
Template,Contoh,
Title,Judul,
Title Field,Judul Lapangan,
To User,Kepada Pengguna,
Type,Jenis,
User,Pengguna,
View Website,Lihat Situs Web,
list,daftar,
