API Key,API Key,
API Secret,API Secret,
Access Token,aðgangur Token,
Action,aðgerð,
Action Type,Aðgerðategund,
Active,virk,
All,Allt,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],An táknið skrá með ICO framlengingu. Ætti að vera 16 x 16 px. Mynda með því að nota favicon rafall. [Favicon-generator.org],
Assignment,framsal,
Attachments,viðhengi,
Avatar,Avatar,
BCC,BCC,
Basic,Basic,
CANCELLED,HÆTT VIÐ,
CC,CC,
Client ID,Viðskiptavinur ID,
Client Secret,Viðskiptavinur Secret,
Columns,dálkar,
Comment,Athugasemd,
Content,innihald,
Created By,Búið til af,
DRAFT,Drög,
Description,Lýsing,
DocType,DocType,
Email,Tölvupóstur,
Enabled,virkt,
End Date,Lokadagur,
Error,villa,
Facebook,Facebook,
Failed,mistókst,
Filters,síur,
From User,Frá notanda,
Full Name,Fullt nafn,
Group By,Hópa eftir,
Icon,Táknmynd,
Inactive,Óvirkt,
Is Default,er Default,
Is Standard,er Standard,
Kanban,Kanban,
Keyboard Shortcuts,Flýtilyklar,
Label,Label,
List,List,
Location,Staðsetning,
Mention,Nefna,
Message,Skilaboð,
Name,heiti,
New,Nýtt,
Phone,Sími,
Public,Public,
Pull,Dragðu,
Push,Ýttu á,
Read,Lesa,
Recipients,viðtakendur,
Reference Doctype,Tilvísun DOCTYPE,
Refresh Token,Uppfæra Token,
Rejected,hafnað,
Reload,endurhlaða,
Sales Manager,Sölufulltrúi,
Sales User,velta User,
Script,Script,
Sender,sendanda,
Session Defaults,Sjálfgefin seta,
Settings,Stillingar,
Source,Source,
Source Name,Source Name,
Start Date,Upphafsdagur,
Status,Staða,
Subject,Subject,
Success,Árangur,
System Manager,System Manager,
Task,Verkefni,
Template,Snið,
Title,Title,
Title Field,Title Field,
To User,Til notanda,
Type,Gerð,
User,Notandi,
View Website,view Website,
list,Listi,
