API Key,API Key,
API Secret,API Secret,
Access Token,Token di accesso,
Action,Azione,
Action Type,Tipo di azione,
Active,Attivo,
All,Tutti,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Un file icona con estensione .ico. Dovrebbe essere 16 x 16 px. Generato usando un generatore di favicon. [favicon-generator.org],
Assignment,assegnazione,
Attachments,Allegati,
Avatar,Avatar,
BCC,BCC,
Basic,Base,
CANCELLED,ANNULLATO,
CC,CC,
Client ID,Identificativo cliente,
Client Secret,Client Secret,
Columns,colonne,
Comment,Commento,
Content,Contenuto,
Created By,Creato da,
DRAFT,BOZZA,
Description,Descrizione,
DocType,DocType,
Email,E-mail,
Enabled,Attivato,
End Date,Data di Fine,
Error,Errore,
Facebook,Facebook,
Failed,Impossibile,
Filters,Filtri,
From User,Da utente,
Full Name,Nome Completo,
Group By,Raggruppare per,
Icon,Icona,
Inactive,Inattivo,
Is Default,È Default,
Is Standard,È standard,
Kanban,Kanban,
Keyboard Shortcuts,Tasti rapidi,
Label,Etichetta,
List,Lista,
Location,Posizione,
Mention,Citare,
Message,Messaggio,
Name,Nome,
New,Nuovo,
Phone,Telefono,
Public,Pubblico,
Pull,Tirare,
Push,Spingere,
Read,Leggi,
Recipients,Destinatari,
Reference Doctype,Riferimento DocType,
Refresh Token,Aggiorna Token,
Rejected,Rifiutato,
Reload,Aggiorna,
Sales Manager,Sales Manager,
Sales User,Utente Vendite,
Script,Script,
Sender,Mittente,
Session Defaults,Sessioni predefinite,
Settings,Impostazioni,
Source,Fonte,
Source Name,Source Name,
Start Date,Data di inizio,
Status,Stato,
Subject,Oggetto,
Success,Successo,
System Manager,System Manager,
Task,Attività,
Template,Modelli,
Title,Titolo,
Title Field,Titolo campo,
To User,All&#39;utente,
Type,Tipo,
User,Utente,
View Website,Visualizza sito web,
list,elenco,
