API Key,API 키,
API Secret,API 비밀,
Access Token,액세스 토큰,
Action,수행,
Action Type,액션 타입,
Active,활성화,
All,모두,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],질환자 확장자 아이콘 파일. 16 × 16 (PX)이어야합니다. 파비콘 생성기를 사용하여 생성됩니다. [favicon-generator.org],
Assignment,할당,
Attachments,첨부,
Avatar,화신,
BCC,숨은 참조,
Basic,기본,
CANCELLED,취소,
CC,CC,
Client ID,클라이언트 ID,
Client Secret,고객 비밀,
Columns,열,
Comment,논평,
Content,목차,
Created By,제작,
DRAFT,초안,
Description,내용,
DocType,독 타입,
Email,이메일,
Enabled,사용,
End Date,끝 날짜,
Error,오류,
Facebook,페이스북,
Failed,실패한,
Filters,필터,
From User,사용자로부터,
Full Name,전체 이름,
Group By,그룹화,
Icon,상,
Inactive,비활성,
Is Default,기본값,
Is Standard,표준입니다,
Kanban,칸반,
Keyboard Shortcuts,키보드 단축키,
Label,라벨,
List,목록,
Location,위치,
Mention,언급하다,
Message,메시지,
Name,이름,
New,새로운,
Phone,휴대폰,
Public,공공,
Pull,손잡이,
Push,푸시,
Read,돇,
Recipients,받는 사람,
Reference Doctype,참조 문서 종류,
Refresh Token,새로 고침 토큰,
Rejected,거부,
Reload,다시로드,
Sales Manager,영업 관리자,
Sales User,판매 사용자,
Script,스크립트,
Sender,보낸 사람,
Session Defaults,세션 기본값,
Settings,설정,
Source,소스,
Source Name,원본 이름,
Start Date,시작 날짜,
Status,상태,
Subject,주제,
Success,성공,
System Manager,시스템 관리자,
Task,태스크,
Template,템플릿,
Title,제목,
Title Field,제목 필드,
To User,사용자에게,
Type,종류,
User,사용자,
View Website,웹 사이트보기,
list,목록,
