API Key,&quot;API raktas,
API Secret,API paslaptis,
Access Token,Prieigos raktas,
Action,veiksmas,
Action Type,Veiksmo tipas,
Active,aktyvus,
All,VISOS,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Piktograma failas su Ico pratęsimo. Turėtų būti 16 × 16 px. Sugeneruoti naudojant favicon generatorius. [Favicon-generator.org],
Assignment,paskyrimas,
Attachments,įrangos,
Avatar,Avatara,
BCC,BCC,
Basic,pagrindinis,
CANCELLED,ATŠAUKTAS,
CC,CK,
Client ID,kliento ID,
Client Secret,klientas paslaptis,
Columns,Stulpeliai,
Comment,Komentuok,
Content,Turinys,
Created By,Sukurta,
DRAFT,projektas,
Description,Prekės ir paslaugos pavadinimas,
DocType,„DocType“,
Email,El. Paštas,
Enabled,Įjungtas,
End Date,pabaigos data,
Error,klaida,
Facebook,Facebook,
Failed,Nepavyko,
Filters,Filtrai,
From User,Iš vartotojo,
Full Name,Pilnas vardas,
Group By,Grupuoti pagal,
Icon,Piktograma,
Inactive,Neaktyvus,
Is Default,numatytoji,
Is Standard,Ar Standartinė,
Kanban,Kanban,
Keyboard Shortcuts,Klaviatūros nuorodos,
Label,Etiketė,
List,Sąrašas,
Location,vieta,
Mention,Minimas,
Message,Žinutė,
Name,vardas,
New,Nauja,
Phone,telefonas,
Public,visuomenės,
Pull,Traukti,
Push,Stumti,
Read,skaityti,
Recipients,gavėjai,
Reference Doctype,nuoroda dokumentų tipas,
Refresh Token,Atnaujinti ženklas,
Rejected,Atstumtas,
Reload,Perkrauti,
Sales Manager,Pardavimų vadybininkas,
Sales User,pardavimų Vartotojas,
Script,Scenarijus,
Sender,Siuntėjas,
Session Defaults,Sesijos numatytieji nustatymai,
Settings,Nustatymai,
Source,šaltinis,
Source Name,šaltinis Vardas,
Start Date,Pradžios data,
Status,Statusas,
Subject,Tema,
Success,Sėkmė,
System Manager,sistemos direktorius,
Task,Užduotis,
Template,šablonas,
Title,Pavadinimas,
Title Field,Pavadinimas laukas,
To User,Vartotojui,
Type,tipas,
User,Vartotojas,
View Website,Peržiūrėti svetainė,
list,Sąrašas,
