API Key,API atslēga,
API Secret,API Secret,
Access Token,Access Token,
Action,Darbība,
Action Type,Darbības veids,
Active,Aktīvs,
All,Visi,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Ikona failu ar ICO pagarinājumu. Vajadzētu būt 16 x 16 px. Radītais izmantojot favicon ģenerators. [favicon-generator.org],
Assignment,uzdevums,
Attachments,Pielikumi,
Avatar,Avatar,
BCC,BCC,
Basic,Pamata,
CANCELLED,ATCELTS,
CC,CC,
Client ID,Klienta ID,
Client Secret,Klientu Secret,
Columns,kolonnas,
Comment,Komentārs,
Content,Saturs,
Created By,Izveidoja,
DRAFT,PROJEKTS,
Description,Apraksts,
DocType,DocType,
Email,E-pasts,
Enabled,Enabled,
End Date,Beigu datums,
Error,Kļūda,
Facebook,Facebook,
Failed,Neizdevās,
Filters,Filtri,
From User,No lietotāja,
Full Name,Pilns nosaukums,
Group By,Grupēt pēc,
Icon,Ikona,
Inactive,Neaktīvs,
Is Default,Vai Default,
Is Standard,Vai Standard,
Kanban,Kanban,
Keyboard Shortcuts,Tastatūras īsceļi,
Label,Etiķete,
List,Saraksts,
Location,Vieta,
Mention,Piemini,
Message,Ziņa,
Name,Nosaukums,
New,Jauns,
Phone,Telefons,
Public,Valsts,
Pull,Izvelciet,
Push,Spiediet,
Read,Lasīt,
Recipients,Saņēmēji,
Reference Doctype,Atsauce DOCTYPE,
Refresh Token,Atsvaidzināt Token,
Rejected,Noraidīts,
Reload,Pārlādēt,
Sales Manager,Pārdošanas vadītājs,
Sales User,Sales User,
Script,Scenārijs,
Sender,Nosūtītājs,
Session Defaults,Sesijas noklusējumi,
Settings,Settings,
Source,Avots,
Source Name,Source Name,
Start Date,Sākuma datums,
Status,Stāvoklis,
Subject,Pakļauts,
Success,Panākumi,
System Manager,System Manager,
Task,Uzdevums,
Template,Template,
Title,Virsraksts,
Title Field,Nosaukums Field,
To User,Lietotājam,
Type,Tips,
User,Lietotājs,
View Website,Skatīt Website,
list,saraksts,
