API Key,Kunci API,
API Secret,API Secret,
Access Token,Token Akses,
Action,Tindakan,
Action Type,Jenis Tindakan,
Active,Aktif,
All,Semua,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Satu file icon dengan sambungan .ico. Harus 16 x 16 px. Dijana menggunakan penjana favicon. [favicon-generator.org],
Assignment,tugasan,
Attachments,Lampiran,
Avatar,Avatar,
BCC,BCC,
Basic,Asas,
CANCELLED,DIBATALKAN,
CC,CC,
Client ID,ID pelanggan,
Client Secret,Secret pelanggan,
Columns,Kolum,
Comment,Komen,
Content,Kandungan,
Created By,Dibuat oleh,
DRAFT,Draf,
Description,Penerangan,
DocType,DocType,
Email,E-mel,
Enabled,Membolehkan,
End Date,Tarikh akhir,
Error,Ralat,
Facebook,Facebook,
Failed,Gagal,
Filters,Penapis,
From User,Dari Pengguna,
Full Name,Nama Penuh,
Group By,Kumpulan Oleh,
Icon,Ikon,
Inactive,Tidak aktif,
Is Default,Adalah Default,
Is Standard,Adalah Standard,
Kanban,Kanban,
Keyboard Shortcuts,Pintasan papan kekunci,
Label,Label,
List,Senarai,
Location,Lokasi,
Mention,Menyebut,
Message,Mesej,
Name,Nama,
New,Baru,
Phone,Telefon,
Public,Awam,
Pull,Tarik,
Push,Tolak,
Read,Baca,
Recipients,Penerima,
Reference Doctype,Rujukan DOCTYPE,
Refresh Token,Refresh Token,
Rejected,Ditolak,
Reload,Muat semula,
Sales Manager,Pengurus Jualan,
Sales User,Jualan Pengguna,
Script,Skrip,
Sender,Penghantar,
Session Defaults,Default Sesi,
Settings,Tetapan,
Source,Sumber,
Source Name,Nama Source,
Start Date,Tarikh Mula,
Status,Status,
Subject,Tertakluk,
Success,Kejayaan,
System Manager,Pengurus Sistem,
Task,Petugas,
Template,Template,
Title,Tajuk,
Title Field,Tajuk Field,
To User,Kepada Pengguna,
Type,Jenis,
User,Pengguna,
View Website,Lihat Laman Web,
list,senarai,
