API Key,Klucz API,
API Secret,Tajny API,
Access Token,Dostęp za pomocą Tokenu,
Action,Działanie,
Action Type,Rodzaj działania,
Active,Aktywny,
All,Wszystko,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Plik ikona z .ico rozszerzenia. Powinno być 16 x 16 px. Generowane przy użyciu generator favicon. [favicon-generator.org],
Assignment,Zadanie,
Attachments,Załączniki,
Avatar,Avatar,
BCC,BCC,
Basic,Podstawowy,
CANCELLED,Anulowano,
CC,CC,
Client ID,Identyfikator klienta,
Client Secret,Klient Secret,
Columns,kolumny,
Comment,Komentarz,
Content,Zawartość,
Created By,Utworzył(a),
DRAFT,WERSJA ROBOCZA,
Description,Opis,
DocType,DocType,
Email,E-mail,
Enabled,Aktywny,
End Date,Data zakończenia,
Error,Błąd,
Facebook,Facebook,
Failed,Nie powiodło się.,
Filters,Filtry,
From User,Od użytkownika,
Full Name,Imię i nazwisko,
Group By,Grupuj według,
Icon,Ikona,
Inactive,Nieaktywny,
Is Default,Domyślny,
Is Standard,Standardowy,
Kanban,Kanban,
Keyboard Shortcuts,Skróty klawiszowe,
Label,Etykieta,
List,Lista,
Location,Lokacja,
Mention,Wzmianka,
Message,Wiadomość,
Name,Nazwa,
New,Nowy,
Phone,Telefon,
Public,Publiczny,
Pull,Ciągnąć,
Push,Pchać,
Read,Czytać,
Recipients,Adresaci,
Reference Doctype,DocType Odniesienia,
Refresh Token,Odśwież token,
Rejected,Odrzucono,
Reload,Przeładuj,
Sales Manager,Menadżer Sprzedaży,
Sales User,Użytkownik Sprzedaży,
Script,Skrypt,
Sender,Nadawca,
Session Defaults,Domyślne ustawienia sesji,
Settings,Ustawienia,
Source,Źródło,
Source Name,Nazwa źródła,
Start Date,Data rozpoczęcia,
Status,Status,
Subject,Temat,
Success,Sukces,
System Manager,System Manager,
Task,Zadanie,
Template,Szablon,
Title,Tytuł,
Title Field,Pole tytułu,
To User,Do użytkownika,
Type,Typ,
User,Użytkownik,
View Website,Zobacz stronę WWW,
list,lista,
