API Key,Chave da API,
API Secret,Segredo da API,
Access Token,Token de Acesso,
Action,Ação,
Action Type,Tipo de acão,
Active,Ativo,
All,Todos,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Um ícone do arquivo com extensão .ico. Deve ser de 16 x 16 px. Gerado usando um gerador de favicon. [favicon-generator.org],
Assignment,Tarefa,
Attachments,Anexos,
Avatar,Avatar,
BCC,BCC,
Basic,Básico,
CANCELLED,CANCELADO,
CC,CC,
Campaign,Campanha,
Client ID,ID do Cliente,
Client Secret,Segredo do cliente,
Columns,Colunas,
Comment,Comentário,
Content,Conteúdo,
Created By,Criado por,
DRAFT,Rascunho,
Description,Descrição,
DocType,DocType,
Email,Email,
Enabled,Ativado,
End Date,Data Final,
Error,Erro,
Facebook,Facebook,
Failed,Falhou,
Filters,Filtros,
From User,Do Usuário,
Full Name,Nome Completo,
Group By,Agrupar por,
Icon,Ícone,
Inactive,Inativo,
Is Default,É Padrão,
Is Standard,É Padrão,
Kanban,Kanban,
Keyboard Shortcuts,Atalhos do teclado,
Label,Rótulo,
List,Lista,
Location,Localização,
Mention,Menção,
Message,mensagem,
Name,Nome,
New,Novo,
Phone,Telefone,
Public,Público,
Pull,Puxar,
Push,Empurrar,
Read,Ler,
Recipients,Destinatários,
Reference Doctype,DocType de Referência,
Refresh Token,Token de Atualização,
Rejected,Rejeitado,
Reload,Recarregar,
Sales Manager,Gerente de Vendas,
Sales User,Usuário de Vendas,
Script,Script,
Sender,Remetente,
Session Defaults,Padrões de Sessão,
Settings,Configurações,
Source,Fonte,
Source Name,Nome da Fonte,
Start Date,Data de Início,
Status,Status,
Subject,Assunto,
Success,Sucesso,
System Manager,Administrador do Sistema,
Task,Tarefa,
Template,Modelo,
Title,Título,
Title Field,Campo Título,
To User,Ao usuário,
Type,Tipo,
User,Usuário,
View Website,Ver  Site,
list,Lista,
