API Key,API Ключ,
API Secret,API Секретный,
About,О системе,
Access Token,Маркер доступа,
Action,Действие,
Action Type,Тип действия,
Active,Активен,
All,Все,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Значок файла с расширением .ico расширением. Должно быть 16 х 16 пикселей. Генерируется с использованием генератора FavIcon. [favicon-generator.org],
Assignment,Назначение,
Attachments,Приложения,
Avatar,Аватар,
BCC,Скрытая копия,
Basic,Основной,
CANCELLED,ОТМЕНЕНО,
CC,Копия,
Client ID,ID клиента,
Client Secret,Секрет клиента,
Columns,Колонки,
Comment,Комментарий,
Content,Содержимое,
Created By,Созданный,
DRAFT,ЧЕРНОВИК,
Description,Описание,
DocType,DocType,
Email,Эл. адрес,
Enabled,Включено,
End Date,Дата окончания,
Error,Ошибка,
Facebook,Facebook,
Failed,Не выполнено,
Filters,Фильтры,
From User,От пользователя,
Full Name,Полное имя,
Group By,Группа по,
Icon,Икона,
Inactive,Неактивный,
Is Default,По умолчанию,
Is Standard,Это стандартный отчёт,
Kanban,Канбан,
Keyboard Shortcuts,Горячие клавиши,
Label,Имя метки,
List,Список,
Location,Местоположение,
Mention,Упоминание,
Message,Сообщение,
My Profile,Мой профиль,
My Settings,Мои настройки,
Name,Имя,
New,Новый,
Phone,Телефон,
Public,Публично,
Read,Читать,
Recipients,Получатели,
Reference Doctype,Ссылка DocType,
Refresh Token,Токен обновления,
Rejected,Отклоненные,
Reload,Обновить страницу,
Sales Manager,Менеджер продаж,
Sales User,Продавец,
Script,Скрипт,
Sender,Отправитель,
Session Defaults,Сеансы по умолчанию,
Settings,Настройки,
Source,Источник,
Source Name,Имя источника,
Start Date,Дата начала,
Status,Статус,
Subject,Тема,
Success,Успешно,
System Manager,Менеджер системы,
Task,Задача,
Template,Шаблон,
Title,Заголовок,
Title Field,Название поля,
To User,Пользователю,
Toggle Full Width,Переключить ширину,
Toggle Theme,Переключить тему,
Type,Тип,
User,Пользователь,
View Website,Посмотреть сайт,
list,список,
