API Key,Urufunguzo rwa API,
API Secret,Ibanga rya API,
Access Token,Kwinjira,
Action,Igikorwa,
Action Type,Ubwoko bwibikorwa,
Active,Bikora,
All,Byose,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Agashusho dosiye hamwe niyagurwa rya .ico. Igomba kuba 16 x 16 px. Byakozwe hakoreshejwe generator ya favicon. [favicon-generator.org],
Assignment,Umukoro,
Attachments,Umugereka,
Avatar,Avatar,
BCC,BCC,
Basic,Shingiro,
CANCELLED,BISHOBORA,
CC,CC,
Client ID,Indangamuntu y&#39;abakiriya,
Client Secret,Ibanga ry&#39;abakiriya,
Columns,Inkingi,
Comment,Igitekerezo,
Content,Ibirimo,
Created By,Byaremwe na,
DRAFT,DRAFT,
Description,Ibisobanuro,
DocType,Inyandiko,
Email,Imeri,
Enabled,Gushoboza,
End Date,Itariki yo kurangiriraho,
Error,Ikosa,
Facebook,Facebook,
Failed,Kunanirwa,
Filters,Muyunguruzi,
From User,Kuva Umukoresha,
Full Name,Izina ryuzuye,
Group By,Itsinda Na,
Icon,Agashusho,
Inactive,Kudakora,
Is Default,Nibisanzwe,
Is Standard,Nibisanzwe,
Kanban,Kanban,
Keyboard Shortcuts,Amahinanzira ya Mwandikisho,
Label,Ikirango,
List,Urutonde,
Location,Aho biherereye,
Mention,Vuga,
Message,Ubutumwa,
Name,Izina,
New,Gishya,
Phone,Terefone,
Public,Rubanda,
Pull,Kurura,
Push,Gusunika,
Read,Soma,
Recipients,Abagenerwabikorwa,
Reference Doctype,Reba Inyandiko,
Refresh Token,Fungura Token,
Rejected,Yanze,
Reload,Ongera usubiremo,
Sales Manager,Umuyobozi ushinzwe kugurisha,
Sales User,Umukoresha,
Script,Inyandiko,
Sender,Kohereza,
Session Defaults,Isomo risanzwe,
Settings,Igenamiterere,
Source,Inkomoko,
Source Name,Izina ryinkomoko,
Start Date,Itariki yo gutangiriraho,
Status,Imiterere,
Subject,Ingingo,
Success,Intsinzi,
System Manager,Umuyobozi wa sisitemu,
Task,Inshingano,
Template,Inyandikorugero,
Title,Umutwe,
Title Field,Umwanya Umutwe,
To User,Kuri Umukoresha,
Type,Andika,
User,Umukoresha,
View Website,Reba Urubuga,
list,urutonde,
