API Key,API Nyckel,
API Secret,API Hemlighet,
About,Om,
Access Token,Åtkomst Token,
Action,Åtgärd,
Action Type,Åtgärd Typ,
Active,Aktiv,
All,Alla,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Ikon fil med ico ändelse. Ska vara 16 x 16 px. Skapas med användning av favicon generator. [favicon-generator.org],
Apply To,Tillämpa På,
Apps,Appar,
Assignment,Tilldelning,
Attachments,Bilagor,
Avatar,Avatar,
BCC,Hemlig Kopia Till,
Basic,Grundläggande,
CANCELLED,ANNULLERAD,
CC,Kopia Till,
Campaign,Kampanj,
Client ID,Klient ID,
Client Secret,Klient Hemlighet,
Columns,Kolumner,
Comment,Kommentar,
Content,Innehåll,
Created At,Skapad,
Created By,Skapad Av,
DRAFT,UTKAST,
Description,Beskrivning,
DocType,DocType,
Email,E-post,
Enabled,Aktiverad,
End Date,Slut Datum,
Error,Fel,
Facebook,Facebook,
Failed,Misslyckad,
Filters,Filter,
Form,Formulär,
Frappe Support,Frappe Support,
From User,Från Användare,
Full Name,Fullständig Namn,
Group By,Gruppera efter,
Icon,Ikon,
Inactive,Inaktiv,
Is Default,Är Standard,
Is Standard,Är Standard,
Kanban,Anslag Tavla,
Keyboard Shortcuts,Kort Kommando,
Label,Etikett,
List,Lista,
Location,Plats,
Log out,Logga Ut,
Mention,Hänvisa,
Message,Meddelande,
My Profile,Min Profil,
My Settings,Mina Inställningar,
Name,Namn,
New,Ny,
Phone,Telefon,
Public,Publik,
Pull,Dra,
Push,Skjuta på,
Read,Läsa,
Recipients,Mottagare,
Reference Doctype,Referens DocType,
Refresh Token,Uppdatera Token,
Rejected,Avvisad,
Reload,Ladda om,
Result,Resultat,
Sales Manager,Försäljning Ansvarig,
Sales User,Försäljning Användare,
Script,Skript,
Sender,Avsändare,
Session Defaults,Session Inställningar,
Settings,Inställningar,
Source,Från,
Source Name,Käll Namn,
Start Date,Start Datum,
Status,Status,
Subject,Ämne,
Success,Klar,
System Manager,System Ansvarig,
Task,Uppgift,
Template,Mall,
Title,Benämning,
Title Field,Titel Fält,
To User,Till Användare,
Toggle Full Width,Växla Full Bredd,
Toggle Theme,Växla Tema,
Type,Typ,
User,Användare,
View Website,Visa Webbplats,
list,lista,
