API Key,API Anahtarı,
API Secret,API Gizli Anahtarı,
About,Hakkında,
Access Token,Erişim Anahtarı,
Action,İşlem,
Action Type,Aksiyon Türü,
Active,Aktif,
All,Tümü,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],.ico uzantılı bir simge dosyası. 16 x 16 piksel olmalıdır. Bir favicon oluşturucu kullanılarak oluşturulmuştur. [favicon-generator.org],
Apply To,Uygulanan,
Apps,Uygulamalar,
Assignment,Atama,
Attachments,Belge Ekleri,
Avatar,Profil Resmi,
BCC,BCC,
Basic,Basit,
Campaign,Kampanya,
Client ID,Client ID,
Client Secret,Client Secret,
Columns,Sütunlar,
Comment,Yorum Yap,
Content,İçerik,
Created At,Oluşturulma Zamanı,
Created By,Oluşturan,
Description,Açıklama,
DocType,DocType,
Email,E-posta,
Enabled,Etkin,
End Date,Bitiş Tarihi,
Error,Hata,
Facebook,Facebook,
Failed,Başarısız,
Filters,Filtreler,
Form,Form,
Frappe Support,Frappe Desteği,
From User,Kullanıcıdan,
Full Name,Tam Adı,
Group By,Gruplama Ölçütü,
Icon,Simge,
Inactive,Pasif,
Is Default,Varsayılan mı,
Is Standard,Standart,
Kanban,Kanban,
Keyboard Shortcuts,Klavye Kısayolları,
Label,Etiket,
List,Liste,
Location,Konum,
Log out,Çıkış,
Message,Mesaj,
My Profile,Profilim,
My Settings,Ayarlarım,
Name,Adı,
New,Yeni,
Phone,Telefon,
Public,Herkese Açık,
Read,Okuma,
Recipients,Alıcılar,
Reference Doctype,Referans Belge Türü,
Refresh Token,Token Yenile,
Rejected,Reddedildi,
Reload,Yeniden Yükle,
Result,Sonuç,
Sales Manager,Satış Yöneticisi,
Sales User,Satış Kullanıcısı,
Sender,Gönderen,
Session Defaults,Oturum Varsayılanları,
Settings,Ayarlar,
Source,Kaynak,
Source Name,Kaynak Adı,
Start Date,Başlangıç Tarihi,
Status,Durum,
Subject,Konu,
Success,Başarılı,
System Manager,Sistem Yöneticisi,
Task,Görev,
Template,Şablon,
Title,Başlık,
Title Field,Başlık Alanı,
Toggle Full Width,Geniş Görünüm,
Toggle Theme,Temayı Değiştir,
Type,Türü,
User,Kullanıcı,
View Website,Websitesine Git,
list,liste,
