 (New),(Mới)
 Quality Distribution,
 đã được sao chép,
(Foreign Key -> Campaign),(Khóa ngoại -> Chiến dịch)
(Foreign Key -> CampaignSocail) Bước đã tạo ra hành động này.,
(Foreign Key -> Candidate),(Khóa ngoại -> Ứng viên)
(Foreign Key -> CandidateCampaign),(Khóa ngoại -> CandidateCampaign)
(Foreign Key -> Mira Segment) Phân khúc mục tiêu,
(Foreign Key -> Talent Pool),
(Optional),
(Phân khúc Nhân tài / Talent Pool),Không
-- Select Column --,
-- Select method --,-Chọn Phương thức-
-- Select source type --,-Chọn loại nguồn-
0 for immediate execution,0 để thực hiện ngay lập tức
1 hour,
1 hour ago,1 giờ trước
1 hour before,
1 minute ago,1 phút trước
1 month ago,1 tháng trước
1 template selected,
1 week ago,1 tuần trước
1 week before,
1 year ago,1 năm trước
1.5 hours,
10,
15,
15 minutes,
2 hours,
2.2. Channel-Specific Content Customization,
24,
24 hours before,
3,
30,
30 Days,
30 minutes,
45 minutes,
48 hours before,
90 Days,
"<p>Dear {{ lead_name }},</p>\n\n<p>This is a reminder for the payment of {{ grand_total }}.</p>\n\n<p>Thanks,</p>\n<p>Frappé</p>",
"@John, can you please check this?","@John, bạn có thể vui lòng kiểm tra cái này được không?"
A,
A Mira Talent Campaign with Campaign <b>{0}</b> and Candidate <b>{1}</b> already exists: <a href='/app/candidate-campaign/{2}'>{2}</a>,TalentProfileScampaign với chiến dịch <b> {0} </b> và ứng cử viên <b> {1} </b> đã tồn tại: <a href = '/app
A Mira Talent Pool Campaign with Campaign <b>{0}</b> and Candidate <b>{1}</b> already exists: <a href='/app/candidate-campaign/{2}'>{2}</a>,
A Mira Talent Pool with Candidate <b>{0}</b> and Segment <b>{1}</b> already exists: <a href='/app/candidate-segment/{2}'>{2}</a>,
A new {0} campaign,
A specific tag is added to talent,
A specific tag is removed from talent,
ACTIVE,KÍCH HOẠT
ADD_CUSTOM_FIELD,
ADD_TAG,
AI,
AI Call,
AI Generation,
AI Score,
AI Suggestions,
AI Summary,Tóm tắt AI
AI content has been applied to the template,
AI generation will be available soon,
AI screening call,
AI-powered call or voice action,
AI-powered engagement call,
AI_CALL,
API,
API Access Token,
API Base URL,URL cơ sở API
API Base URL is required when not using same site,
API Configuration,
API Endpoint,
API Headers,
API Key,Khóa API
API Key do nhà cung cấp cấp khi đăng ký ứng dụng (ví dụ: TopCV),API KEY Do NHÀ CUNG CấP CấP KHI ĐÓ
API Key is required,
API Key is required for API Key method,Khóa API được yêu cầu cho phương thức khóa API
API Secret,Bí mật API
API Secret is required,
API Secret đi kèm với API Key (nếu có),API SELX
API Webhook,
API endpoint copied to clipboard,
API rate limit exceeded,
APPLICATION_SUBMITTED,Application_submited
ARCHIVED,Lưu trữ
ATS,ATS
ATS Import,Nhập khẩu ATS
ATS System,
ATS connection created successfully,
ATTRACTION,THU HÚT
About UTM Tracking,
Access Details,
Access Token,Mã thông báo truy cập
Access Token hiện tại (OAuth2),Truy cập Mã thông báo Hiện Tại (OAuth2)
Access TopCV resume database for candidate search,
Access and manage bookings,
Access and manage event types,
Access availability information,
Access list of pages user manages,
Access token required,
Access user profile information,
Account Information,
Account Metadata,
Account Name,
Account Settings,
Account Type,
Account chính được sử dụng mặc định,
Account settings are only available for connected platforms,
Account sync is only available for connected platforms,
Accounts synced successfully,
Action,
Action Buttons,
Action Config,Cấu hình hành động
Action Configuration,Cấu hình hành động
Action Name,
Action Parameters,
Action Parameters (Snapshot),
Action Type,Loại hành động
Action Value,
Action if Replied,
Action timeout in seconds,
Action type is required,Loại hành động là bắt buộc
Action {0},
Actions,Hành động
Actions that will be executed,
Activate data source,Kích hoạt nguồn dữ liệu
Active,Kích hoạt
Active Campaigns,Các chiến dịch kích hoạt
Active Facebook Accounts,
Active Status,Trạng thái hoạt động
Active TopCV Accounts,
Active now,
Activity Type,
Add,Thêm vào
Add Action,Thêm hành động
Add Additional Action,
Add Button,
Add Candidate,
Add Channel,
Add Column,Thêm cột
Add Condition,
Add Configuration,
Add Custom Field,
Add Data Source,Thêm nguồn dữ liệu
Add Email,
Add Field,Thêm trường
Add File Attachment,
Add Filter,Thêm bộ lọc
Add First Step,Thêm bước đầu tiên
Add Flow,
Add Header,
Add Image Block,
Add Manual Talent,
Add Manually,
Add Mapping,
Add Mira Interaction,
Add New Action,Thêm hành động mới
Add New Candidate,Thêm ứng viên mới
Add New Configuration,
Add New Data Source,Thêm nguồn dữ liệu mới
Add New Log,Thêm nhật ký mới
Add New Mira Interaction,
Add New Step,Thêm bước mới
Add Note,
Add Phone,
Add Post,
Add Profile,Thêm hồ sơ
Add Prospect,
Add QR Code,
Add Row,Thêm hàng
Add Section,Thêm phần
Add Selected to pool,
Add Short Link,
Add Sort,Thêm sắp xếp
Add Stage,
Add Step,Thêm bước
Add Tab,Thêm tab
Add Tag,
Add Tag to Talent,
Add Tags,
Add Talent,
Add Talent Profile,Thêm hồ sơ tài năng
Add Talent/Contact to Campaign,
Add Talents,
Add Talents to Pool,
